% Fluorescence version 1.0
% plate 1536 = 32x48 (15 times)
% @meta
% Plate=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Repeat=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Barcode=AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01,AP-01
% Measured height=10.05,10.19,10.11,10.11,10.16,10.13,10.13,10.16,10.11,10.16,10.16,10.19,10.13,10.13,10.16
% Chamber temperature at start=26.49,26.29,26.39,26.29,26.39,26.39,25.97,25.5,25.09,25.58,26.46,26.46,26.26,26.09,26.07
% Chamber temperature at end=26.12,26.29,26.51,26.39,26.42,26.09,26.02,25.21,25.31,25.41,26.29,26.39,26.29,26,26
% Humidity at start=28.6,27.2,27.2,27,27,23.7,24.5,26.9,26.7,26.2,25.8,26.4,27.5,27.4,27.2
% Humidity at end=28.6,27.8,27.7,27.5,27.7,24,25,27.5,27.4,26.7,26.4,27,28.1,28,27.8
% Ambient temperature at start=26.69,26.69,26.79,26.69,26.79,26.59,26.46,25.61,25.58,25.78,26.66,26.76,26.66,26.49,26.37
% Ambient temperature at end=26.81,26.59,26.62,26.59,26.71,26.49,26.22,25.61,25.51,26,26.59,26.59,26.49,26.39,26.2
% Group=1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
% Label=FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1),FAM(1)
% ScanX=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% ScanY=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Measinfo=De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A,De=1st Ex=Top Em=Top Wdw=N/A
% Kinetics=0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
% Measurement date=11/20/2012 2:12:58 AM,11/20/2012 3:17:04 AM,11/20/2012 4:21:15 AM,11/20/2012 5:25:27 AM,11/20/2012 6:29:44 AM,11/20/2012 8:53:17 AM,11/20/2012 10:59:44 AM,11/20/2012 1:03:59 PM,11/20/2012 3:08:16 PM,11/20/2012 5:12:32 PM,11/20/2012 7:16:45 PM,11/20/2012 9:20:59 PM,11/20/2012 11:25:13 PM,11/21/2012 1:29:27 AM,11/21/2012 3:33:41 AM
@relation CP-001073
@attribute 0 integer % 2012-11-20T02:10:18+00:00
@attribute 3846 integer % 2012-11-20T03:14:24+00:00
@attribute 7697 integer % 2012-11-20T04:18:35+00:00
@attribute 11549 integer % 2012-11-20T05:22:47+00:00
@attribute 15407 integer % 2012-11-20T06:27:05+00:00
@attribute 24019 integer % 2012-11-20T08:50:37+00:00
@attribute 31606 integer % 2012-11-20T10:57:04+00:00
@attribute 39061 integer % 2012-11-20T13:01:19+00:00
@attribute 46518 integer % 2012-11-20T15:05:36+00:00
@attribute 53974 integer % 2012-11-20T17:09:52+00:00
@attribute 61427 integer % 2012-11-20T19:14:05+00:00
@attribute 68881 integer % 2012-11-20T21:18:19+00:00
@attribute 76335 integer % 2012-11-20T23:22:33+00:00
@attribute 83789 integer % 2012-11-21T01:26:47+00:00
@attribute 91243 integer % 2012-11-21T03:31:01+00:00
@attribute name string
@data
589,1962,2618,3123,4084,3109,4543,4760,4570,4339,4947,4181,4889,5037,4694,B36
446,1744,3043,2828,3818,3290,4517,4521,4546,5057,5054,4890,5250,5077,5882,B37
604,2349,2788,2892,3310,2820,4243,4589,4498,4553,4380,4925,4559,4662,5357,B38
711,1690,2556,3108,3507,2808,4428,4311,4034,4351,4204,4286,4544,4280,5050,B39
576,2049,2974,3382,3652,2605,3887,3972,3940,4652,4373,4594,4434,4928,4609,B40
504,2401,2830,3070,3966,2665,4287,4170,4138,4453,4563,4356,4730,4592,4473,B41
388,2135,2817,3266,3332,2577,4013,4053,3719,4824,4344,4234,4293,4630,4573,B42
432,1993,2823,3152,3800,2818,3898,4250,4091,4419,3970,4627,4868,4251,4203,B43
321,1943,2960,3105,3409,3353,3913,4051,3549,4458,4382,4143,4373,4072,4219,B44
462,1526,1807,2118,2269,2154,2477,2848,2420,2476,2653,2664,2595,2827,2676,B45
381,2325,3167,3499,3380,3071,3489,3807,3744,3453,3917,3655,3474,3658,3730,B46
173,288,226,227,162,335,384,204,91,282,233,187,210,299,450,B47
189,168,310,300,74,295,330,248,143,315,94,210,352,289,395,B48
618,1961,2392,2779,3390,2711,3579,4198,4140,4044,4251,3963,4128,4315,4873,C1
483,1852,2620,2764,3191,2833,3470,3260,3983,4082,3706,4231,4131,4196,4293,C2
569,1991,2701,2882,2855,2814,4032,4177,3758,4206,4323,3787,3706,4249,3973,C3
465,1914,2892,2841,3177,3081,3924,4415,3855,4297,4196,4592,4363,4714,4681,C4
563,1843,2656,2896,3083,2826,3743,4461,4122,4484,4300,4442,4496,4611,4625,C5
819,1883,2447,3040,3347,2734,4101,3958,3969,4632,4282,5002,4382,4890,4252,C6
459,1931,2858,2970,3423,2883,3875,4021,4442,4468,4555,5085,5183,5105,5121,C7
437,1854,2907,2920,2967,2654,3870,3950,4276,4520,4393,4719,4949,5024,4821,C8
586,1969,2371,2877,3129,2619,3952,4386,4085,4520,4384,4487,4825,4786,4909,C9
680,1519,2336,2948,3279,2718,3498,4130,4221,4627,3990,4626,4260,4738,4952,C10
442,1795,2730,3076,3503,2330,3619,3892,4138,4187,4023,4242,3679,3982,4339,C11
490,1637,2159,2554,3051,2326,3565,3716,3868,3842,3738,4056,4737,4411,4402,C12
450,1599,2362,3009,3137,2865,3991,3879,4525,4677,4657,4742,4469,4443,4769,C13
465,1819,2582,2942,3371,2615,3956,4416,4004,4415,4404,4219,4636,4511,4385,C14
541,1772,2323,3134,3290,2611,3569,4068,4326,4523,4163,4318,4112,4473,4819,C15
591,1794,2391,3041,3510,2806,3725,3725,4438,4208,4096,4225,4089,4219,4112,C16
591,1909,2639,3298,3726,3183,3605,4170,4457,4762,4161,4366,4930,4874,4891,C17
500,1975,2687,3185,3044,2873,3880,4039,4436,4440,4190,4615,4380,4461,4798,C18
434,1819,2793,3475,3610,3170,4188,4236,4959,4602,4368,4950,5356,5168,5069,C19
421,1648,2123,3207,3045,2487,3566,3250,3730,3895,4080,4348,4114,3877,4187,C20
681,1773,2956,3217,3824,3738,4228,5118,4941,5260,4897,4919,5336,5194,5675,C21
517,2061,2837,3708,3391,3060,4161,4818,4516,4766,4396,4923,4825,4779,4880,C22
527,1534,2341,2759,2820,2874,3696,4562,4109,4791,4479,4458,4228,4500,4394,C23
593,2211,2693,3520,3536,2548,4191,4344,3980,4335,4003,4419,4792,4727,4430,C24
613,1574,2416,3360,3350,2980,4269,4682,4761,4834,4844,4847,5234,5462,5130,C25
356,2170,2709,3157,3104,2870,3873,4162,4168,4896,4539,4497,4282,4479,4401,C26
550,2174,2959,3682,3975,3455,4375,5053,5330,5326,5630,5498,6076,6383,6073,C27
456,1915,2801,2689,3211,2844,3807,4412,4251,4028,4005,4306,4655,4851,4788,C28
581,1757,2846,3671,3442,2967,4138,4300,4583,4367,4868,4907,4477,4791,5224,C29
